Year,Suspended Particulate Matter (SPM)
1890,620.9415584
1891,623.3766234
1892,617.6046176
1893,611.8326118
1894,606.0606061
1897,588.7445887
1898,582.972583
1900,571.4285714
1905,569.8701299
1906,569.5584416
1907,569.2467532
1912,567.6883117
1913,563.6363636
1914,555.3719008
1921,497.5206612
1922,489.2561983
1924,472.7272727
1925,409.0909091
1926,363.6363636
1927,360
1928,358.1818182
1930,361.8181818
1931,363.6363636
1933,400
1934,403.6363636
1935,409.0909091
1936,405.4545455
1937,401.8181818
1938,400
1940,368.1818182
1944,304.5454545
1945,288.6363636
1948,240.9090909
1949,225
1950,209.0909091
1960,166.744186
1992,31.2346723
1993,27
1994,26
1995,26
1996,26
1997,25
1998,25
1999,25
2000,25
2001,23.22
2002,23
2003,24.79
2004,22.03
2005,22.35
2006,23.82
2007,21.56
2008,18.81
2009,19
2010,20
2011,20
2012,17
2013,17
2014,17
2015,15
2016,16