Year,GDP per capita
1950,3200
1951,3200
1952,3600
1953,4100
1954,4100
1955,4300
1956,4100
1957,4200
1958,4500
1959,4400
1960,4600
1961,4300
1962,4500
1963,4600
1964,4700
1965,5000
1966,5100
1967,5200
1968,5400
1969,5500
1970,5800
1971,6000
1972,6200
1973,6500
1974,6500
1975,6600
1976,6900
1977,7500
1978,7700
1979,7900
1980,7700
1981,7400
1982,6700
1983,6600
1984,7000
1985,6900
1986,7400
1987,7300
1988,7300
1989,7600
1990,7600
1991,7500
1992,8100
1993,8500
1994,8700
1995,8800
1996,8400
1997,8600
1998,9300
1999,9200
2000,9400
2001,9600
2002,9500
2003,9600
2004,9900
2005,10500
2006,10600
2007,11000
2008,11500
2009,12100
2010,12100
2011,12700
2012,12900
2013,12800
2014,13600
2015,14000
2016,14500
2017,15000